KR,项目,类型,总负责人,阶段,完成度,计划开始时间,计划结束时间,产出
"【集群组件高可用】Knox 网关高可用✅ / ATS HA🔄 / Dproxy→SCLB🔄","ATS不可用对各类型作业真实影响验证","工程实施","李浩鹏","验证阶段","30%","2026-05-12","2026-05-16","ATS不可用影响分析报告"
"【集群组件高可用】Knox 网关高可用✅ / ATS HA🔄 / Dproxy→SCLB🔄","ATS与RM切换HA域名但NM未收口的影响验证","工程实施","李浩鹏","验证阶段","0%","2026-05-12","2026-05-23","ATS HA域名切换验证报告"
"【集群组件高可用】Knox 网关高可用✅ / ATS HA🔄 / Dproxy→SCLB🔄","ATS HA Keepalived 独立实例迁移","工程实施","李浩鹏","执行阶段","0%","2026-05-19","2026-05-30","ATS Keepalived独立实例上线"
"【集群组件高可用】Knox 网关高可用✅ / ATS HA🔄 / Dproxy→SCLB🔄","SCLB Tez UI Deep-Link 静态资源路由修复","工程实施","李浩鹏","执行阶段","50%","2026-05-12","2026-05-16","SCLB路由修复上线"
"【集群组件高可用】Knox 网关高可用✅ / ATS HA🔄 / Dproxy→SCLB🔄","Dproxy七层网关实例创建与流量切换","工程实施","李浩鹏","方案阶段","20%","2026-05-19","2026-05-30","SCLB实例创建 + 流量切换完成"
"【集群可观测建设】指标采集链路补齐（KR1）+ Alloy全集群日志接入（KR2）+ 指标-日志联动（KR3）","smartctl-exporter 开发（磁盘 SMART 指标采集）","工程实施","李浩鹏","开发阶段","0%","2026-05-19","2026-05-30","smartctl-exporter 代码 + 部署文档"
"【集群可观测建设】指标采集链路补齐（KR1）+ Alloy全集群日志接入（KR2）+ 指标-日志联动（KR3）","raid-exporter 开发（MegaRAID 优先）","工程实施","李浩鹏","开发阶段","0%","2026-05-26","2026-06-06","raid-exporter 代码 + 部署文档"
"【集群可观测建设】指标采集链路补齐（KR1）+ Alloy全集群日志接入（KR2）+ 指标-日志联动（KR3）","Kafka JMX Exporter 性能优化","工程实施","李浩鹏","优化阶段","30%","2026-05-12","2026-05-23","Kafka JMX Exporter 优化版上线"
"【集群可观测建设】指标采集链路补齐（KR1）+ Alloy全集群日志接入（KR2）+ 指标-日志联动（KR3）","hadoop-exporter KDC并发优化上线验证","工程实施","李浩鹏","验证阶段","80%","2026-05-12","2026-05-16","KDC并发优化验证报告"
"【集群可观测建设】指标采集链路补齐（KR1）+ Alloy全集群日志接入（KR2）+ 指标-日志联动（KR3）","大数据集群系统日志+服务级日志 Alloy 上线验收","工程实施","李浩鹏","验收阶段","90%","2026-05-12","2026-05-16","大数据集群Alloy上线验收报告"
"【集群可观测建设】指标采集链路补齐（KR1）+ Alloy全集群日志接入（KR2）+ 指标-日志联动（KR3）","CVM集群（yz/js/mtds）nova/cinder/neutron 日志接入","工程实施","李浩鹏","执行阶段","40%","2026-05-12","2026-05-23","CVM集群Loki日志接入完成"
"【集群可观测建设】指标采集链路补齐（KR1）+ Alloy全集群日志接入（KR2）+ 指标-日志联动（KR3）","中间件集群 Kafka/Doris 日志接入","工程实施","李浩鹏","执行阶段","30%","2026-05-19","2026-05-30","中间件集群Loki日志接入完成"
"【集群可观测建设】指标采集链路补齐（KR1）+ Alloy全集群日志接入（KR2）+ 指标-日志联动（KR3）","Alloy 采集规范文档输出与 Salt 部署标准化","文档输出","李浩鹏","执行阶段","50%","2026-05-12","2026-06-06","Alloy采集规范文档 + Salt模板"
"【集群可观测建设】指标采集链路补齐（KR1）+ Alloy全集群日志接入（KR2）+ 指标-日志联动（KR3）","日志 Label 体系规范文档输出","文档输出","李浩鹏","执行阶段","60%","2026-05-12","2026-05-23","Label规范文档"
"【告警迁移】全局依赖补齐（KR1）+ 指标类迁移（KR2）+ 日志类迁移（KR3）+ 配置变更/硬件类（KR4）","低风险高频Zabbix噪音告警关闭（≥20条）","工程实施","李浩鹏","执行阶段","0%","2026-05-12","2026-05-16","已关闭清单 + 观察记录"
"【告警迁移】全局依赖补齐（KR1）+ 指标类迁移（KR2）+ 日志类迁移（KR3）+ 配置变更/硬件类（KR4）","Zabbix agent vs Categraf 覆盖度矩阵统计","工程实施","李浩鹏","执行阶段","0%","2026-05-12","2026-05-16","覆盖度矩阵文档"
"【告警迁移】全局依赖补齐（KR1）+ 指标类迁移（KR2）+ 日志类迁移（KR3）+ 配置变更/硬件类（KR4）","指标类告警迁移：HDFS/YARN/Hive/HBase/KDC PromQL转换+导入","工程实施","李浩鹏","执行阶段","50%","2026-05-15","2026-06-01","Foxeye PromQL AlertRule 导入清单"
"【告警迁移】全局依赖补齐（KR1）+ 指标类迁移（KR2）+ 日志类迁移（KR3）+ 配置变更/硬件类（KR4）","日志类告警迁移：NN/RM/HS2/DN/NM/ZK LogQL转换+导入","工程实施","李浩鹏","执行阶段","20%","2026-05-20","2026-06-10","Foxeye LogQL AlertRule 导入清单"
"【告警迁移】全局依赖补齐（KR1）+ 指标类迁移（KR2）+ 日志类迁移（KR3）+ 配置变更/硬件类（KR4）","Foxeye告警规则批量导入与双跑验证","工程实施","李浩鹏","执行阶段","40%","2026-05-12","2026-05-23","双跑验证数据 + 偏差报告"
"【告警迁移】全局依赖补齐（KR1）+ 指标类迁移（KR2）+ 日志类迁移（KR3）+ 配置变更/硬件类（KR4）","告警触发模拟演练功能开发","工程实施","李浩鹏","开发阶段","0%","2026-05-19","2026-05-30","模拟演练功能上线"
"【告警迁移】全局依赖补齐（KR1）+ 指标类迁移（KR2）+ 日志类迁移（KR3）+ 配置变更/硬件类（KR4）","Categraf exec 插件方案设计与单节点验证","技术预研","李浩鹏","方案阶段","0%","2026-06-01","2026-06-18","Categraf exec方案设计文档"
"【集群智能运维】Hermes 基础设施+核心 Skill 搬迁（KR1）+ IM ChatOps（KR2）+ 旧平台下线（KR3）","Hermes 部署与基础设施对接","工程实施","李浩鹏","执行阶段","30%","2026-05-12","2026-05-31","Hermes 部署完成 + 基础设施对接"
"【集群智能运维】Hermes 基础设施+核心 Skill 搬迁（KR1）+ IM ChatOps（KR2）+ 旧平台下线（KR3）","核心 Skill 搬迁与 Hermes 适配（≥5个）","工程实施","李浩鹏","开发阶段","10%","2026-05-19","2026-06-15","5个核心 Skill Hermes 版本上线"
"【集群智能运维】Hermes 基础设施+核心 Skill 搬迁（KR1）+ IM ChatOps（KR2）+ 旧平台下线（KR3）","独立MCP Server搭建（Doris/Loki/VM/Zabbix/Foxeye/SSH）","工程实施","李浩鹏","开发阶段","20%","2026-05-12","2026-05-31","6个独立MCP Server上线"
"【集群智能运维】Hermes 基础设施+核心 Skill 搬迁（KR1）+ IM ChatOps（KR2）+ 旧平台下线（KR3）","飞书/企微 ChatOps 上线","工程实施","李浩鹏","方案阶段","0%","2026-06-01","2026-06-30","飞书+企微 ChatOps 通道上线"
"【集群智能运维】Hermes 基础设施+核心 Skill 搬迁（KR1）+ IM ChatOps（KR2）+ 旧平台下线（KR3）","SRE-Copilot旧平台能力等价迁移验证","工程实施","李浩鹏","验证阶段","0%","2026-06-15","2026-07-15","旧平台下线 + 迁移验证报告"
"【计算治理】平台 Panther 集成（KR1）+ 成熟手段大规模推广（KR2）+ 高风险手段灰度验证（KR3）+ 全局收益可视化（KR4）","Spark向量化作业画像优化","工程实施","李浩鹏","优化阶段","80%","2026-05-12","2026-05-16","作业画像优化上线"
"【计算治理】平台 Panther 集成（KR1）+ 成熟手段大规模推广（KR2）+ 高风险手段灰度验证（KR3）+ 全局收益可视化（KR4）","Spark向量化白名单作业遴选与预估收益评估（bdwh用户）","工程实施","李浩鹏","执行阶段","60%","2026-05-12","2026-05-23","bdwh白名单 + 收益评估报告"
"【计算治理】平台 Panther 集成（KR1）+ 成熟手段大规模推广（KR2）+ 高风险手段灰度验证（KR3）+ 全局收益可视化（KR4）","bdwh用户Spark向量化灰度实验上线","工程实施","李浩鹏","执行阶段","20%","2026-05-19","2026-05-30","灰度实验上线 + 监控数据"
"【计算治理】平台 Panther 集成（KR1）+ 成熟手段大规模推广（KR2）+ 高风险手段灰度验证（KR3）+ 全局收益可视化（KR4）","计算治理平台前端样式重构与组件开发","工程实施","李浩鹏","开发阶段","40%","2026-05-12","2026-05-23","前端重构完成"
"【计算治理】平台 Panther 集成（KR1）+ 成熟手段大规模推广（KR2）+ 高风险手段灰度验证（KR3）+ 全局收益可视化（KR4）","计算治理平台Doris数据源对接与仪表盘上线","工程实施","李浩鹏","开发阶段","20%","2026-05-19","2026-06-06","仪表盘上线"
"【计算治理】平台 Panther 集成（KR1）+ 成熟手段大规模推广（KR2）+ 高风险手段灰度验证（KR3）+ 全局收益可视化（KR4）","Spark向量化参数自动适配方案——基于作业画像的参数推荐能力开发","技术预研","李浩鹏","方案阶段","0%","2026-05-12","2026-05-15","参数推荐方案设计"
"【计算治理】平台 Panther 集成（KR1）+ 成熟手段大规模推广（KR2）+ 高风险手段灰度验证（KR3）+ 全局收益可视化（KR4）","Spark向量化引擎生产落地——算子覆盖率梳理与Fallback策略设计","工程实施","李浩鹏","方案阶段","0%","2026-05-12","2026-05-23","算子覆盖率报告 + Fallback策略"
"Knox HA上线后维护观察","Knox HA故障切换验证与监控","维护观察","李浩鹏","监控阶段","90%","2026-05-12","2026-05-23","监控数据 + 故障切换记录"
"日常运维","冷存RM节点日志目录迁移与滚动配置","日常运维","李浩鹏","执行阶段","70%","2026-05-12","2026-05-16","迁移完成"
"日常运维","Hiveserver启动参数优化","日常运维","李浩鹏","执行阶段","50%","2026-05-12","2026-05-23","HS2参数优化上线"
"日常运维","Ambari配置变更审计邮件开发","日常运维","李浩鹏","开发阶段","50%","2026-05-12","2026-05-30","审计邮件上线"
"日常运维","H3集群KDC高可用配置检查与修复","日常运维","李浩鹏","执行阶段","60%","2026-05-12","2026-05-16","KDC配置检查报告"
